Tipo de Incidencia,Clave,Resumen,Estado,Persona asignada
Epic,CAPSTONE-2,FASE 1,Por hacer,JOSELYN . PINO DIAZ
Tarea,CAPSTONE-5,grupo AVA,Aprobado,JOSELYN . PINO DIAZ
Tarea,CAPSTONE-8,Creación GitHub,Aprobado,JOSELYN . PINO DIAZ
Tarea,CAPSTONE-7,Whatsapp de urgencias y avisos),Aprobado,JOSELYN . PINO DIAZ
Tarea,CAPSTONE-6, equipo Teams,Aprobado,JOSELYN . PINO DIAZ
Reunión,CAPSTONE-12,Reuniones de Seguimiento,Por hacer,JOSELYN . PINO DIAZ
Tarea,CAPSTONE-89,"FASE 1: Definición del proyecto APT / Desarrollo de idea de proyectos, desarrollo de cronograma de actividades y definición de tecnologías a utilizar en un proyecto2",En revisión,Mallén González
Tarea,CAPSTONE-90,"FASE 1: Definición del proyecto APT / Desarrollo de idea de proyectos, desarrollo de cronograma de actividades y definición de tecnologías a utilizar en un proyecto3",En curso,
Tarea,CAPSTONE-91,FASE 1: Definición del proyecto APT / Encargo 1 (Documentación) exposición grupal de proyecto4,En curso,JOSELYN . PINO DIAZ
Tarea,CAPSTONE-92,FASE 1: Definición del proyecto APT / PRESENTACIÓN exposición grupal de proyecto5,En curso,
Tarea,CAPSTONE-27,Entregables asociados a Itos,Por hacer,
Tarea,CAPSTONE-23,Arquitectura,Por hacer,
Tarea,CAPSTONE-25,Diagrama -> logico,Por hacer,
Tarea,CAPSTONE-24,entorno de proyecto,Por hacer,
Tarea,CAPSTONE-22,Tabla Comparativa de Metodologia,En curso,
Epic,CAPSTONE-3,FASE 2,Por hacer,JOSELYN . PINO DIAZ
Tarea,CAPSTONE-93,FASE 2: Desarrollo del proyecto APT / Identificar fortalezas y debilidades del proceso de definición del proyecto5,Por hacer,
Tarea,CAPSTONE-94,FASE 2: Desarrollo del proyecto APT / Elaboración de proyecto TI utilizando conocimientos previos6,Por hacer,
Tarea,CAPSTONE-95,FASE 2: Desarrollo del proyecto APT / Elaboración de proyecto TI utilizando conocimientos previos7,Por hacer,
Tarea,CAPSTONE-96,FASE 2: Desarrollo del proyecto APT / Elaboración de proyecto TI utilizando conocimientos previos / Identificación de fortalezas y debilidades de avance en proyecto TI8,Por hacer,
Tarea,CAPSTONE-97,FASE 2: Desarrollo del proyecto APT / Elaboración de proyecto TI utilizando conocimientos previos9,Por hacer,
Tarea,CAPSTONE-98,FASE 2: Desarrollo del proyecto APT / Entrega de avance de proyecto10,Por hacer,
Tarea,CAPSTONE-99,FASE 2: Desarrollo del proyecto APT / Identificar fortalezas y debilidades del avance del desarrollo del proyecto11,Por hacer,
Tarea,CAPSTONE-100,FASE 2: Desarrollo del proyecto APT / Elaboración de proyecto TI utilizando conocimientos previos12,Por hacer,
Tarea,CAPSTONE-101,FASE 2: Desarrollo del proyecto APT / Elaboración de proyecto TI utilizando conocimientos previos13,Por hacer,
Tarea,CAPSTONE-102,FASE 2: Desarrollo del proyecto APT / Elaboración de proyecto TI utilizando conocimientos previos14,Por hacer,
Tarea,CAPSTONE-103,FASE 2: Desarrollo del proyecto APT / Entrega final del proyecto15,Por hacer,
Epic,CAPSTONE-4,FASE 3,Por hacer,JOSELYN . PINO DIAZ
Tarea,CAPSTONE-104,FASE 3: Presentación Proyecto APT /  Identificar fortalezas y debilidades del proyecto del proyecto15,Por hacer,
Tarea,CAPSTONE-105,FASE 3: Presentación Proyecto APT /  Identificar fortalezas y debilidades del proyecto del proyecto16,Por hacer,
Tarea,CAPSTONE-106,FASE 3: Presentación Proyecto APT17,Por hacer,
Tarea,CAPSTONE-107,FASE 3: Presentación Proyecto APT18,Por hacer,
Subtask,CAPSTONE-9,Estructura GitHub,Listo,
Subtask,CAPSTONE-15,Kick-Off,Listo,
Subtask,CAPSTONE-14,Reunión 14 de Agosto,Listo,JOSELYN . PINO DIAZ
Subtask,CAPSTONE-13,Reunión 21 de Agosto,Listo,JOSELYN . PINO DIAZ
Subtask,CAPSTONE-112,Cronograma de actividades del proyecto,Listo,JOSELYN . PINO DIAZ
Subtask,CAPSTONE-113, Definir las tecnologías a utilizar ,Listo,JOSELYN . PINO DIAZ
Subtask,CAPSTONE-114,Presentacion 1,Por hacer,
Subtask,CAPSTONE-115,1.5_GuiaEstudiante_Fase 1_Definicion Proyecto APT,Por hacer,
Subtask,CAPSTONE-116,1.4,Por hacer,
